name,code,year,corop_code,corop,region_code,region,province_code,province
Maasdriel,GM0263,2026,CR16,Zuidwest-Gelderland,AM10,Rivierenland,PV25,Gelderland
Maasgouw,GM1641,2026,CR38,Midden-Limburg,AM33,Midden-Limburg,PV31,Limburg
Maashorst,GM1991,2026,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Maassluis,GM0556,2026,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Maastricht,GM0935,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Margraten,GM0936,2010,CR39,Zuid-Limburg,,,PV31,Limburg
Marum,GM0025,2018,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Medemblik,GM0420,2026,CR18,Kop van Noord-Holland,AM15,Noord-Holland Noord,PV27,Noord-Holland
Meerssen,GM0938,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Meierijstad,GM1948,2026,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Menaldumadeel,GM0083,2010,CR04,Noord-Friesland,,,PV21,Fryslân
Menameradiel,GM1908,2017,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Menterwolde,GM1987,2017,CR01,Oost-Groningen,AM01,Groningen,PV20,Groningen
Meppel,GM0119,2026,CR09,Zuidwest-Drenthe,AM36,Regio Zwolle,PV22,Drenthe
Middelburg,GM0687,2023,CR32,Overig Zeeland,AM24,Zeeland,PV29,Zeeland
Middelburg (Z.),GM0687,2026,CR32,Overig Zeeland,AM24,Zeeland,PV29,Zeeland
Middelharnis,GM0559,2012,CR29,Groot-Rijnmond,,,PV28,Zuid-Holland
Midden-Delfland,GM1842,2026,CR27,Delft en Westland,AM21,Haaglanden,PV28,Zuid-Holland
Midden-Drenthe,GM1731,2026,CR07,Noord-Drenthe,AM03,Drenthe,PV22,Drenthe
Midden-Groningen,GM1952,2026,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Mill en Sint Hubert,GM0815,2021,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Millingen aan de Rijn,GM0265,2014,CR15,Arnhem/Nijmegen,AM08,Rijk van Nijmegen,PV25,Gelderland
Moerdijk,GM1709,2026,CR33,West-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Molenlanden,GM1978,2026,CR30,Zuidoost-Zuid-Holland,AM35,Gorinchem,PV28,Zuid-Holland
