month,geo,programme,seniority,bucket,n
2026-08,nl,all,unknown,60000,5
2026-08,nl,all,unknown,62500,4
2026-08,nl,all,unknown,65000,1
2026-08,nl,all,unknown,67500,1
2026-08,nl,all,unknown,70000,10
2026-08,nl,all,unknown,72500,1
2026-08,nl,all,unknown,75000,1
2026-08,nl,all,unknown,77500,1
2026-08,nl,all,unknown,80000,1
2026-08,nl,all,unknown,82500,12
2026-08,nl,all,unknown,87500,2
2026-08,nl,business-it-management,all,37500,3
2026-08,nl,business-it-management,all,42500,4
2026-08,nl,business-it-management,all,45000,1
2026-08,nl,business-it-management,all,47500,1
2026-08,nl,business-it-management,all,50000,1
2026-08,nl,business-it-management,all,52500,4
2026-08,nl,business-it-management,all,55000,1
2026-08,nl,business-it-management,all,57500,1
2026-08,nl,business-it-management,all,60000,1
2026-08,nl,business-it-management,all,62500,1
2026-08,nl,business-it-management,all,70000,3
2026-08,nl,business-it-management,all,75000,1
2026-08,nl,business-it-management,all,82500,5
2026-08,nl,business-it-management,all,87500,1
2026-08,nl,business-it-management,junior,37500,2
2026-08,nl,business-it-management,medior,45000,1
2026-08,nl,business-it-management,medior,52500,1
2026-08,nl,business-it-management,medior,70000,1
2026-08,nl,business-it-management,senior,57500,1
2026-08,nl,business-it-management,senior,75000,1
2026-08,nl,business-it-management,senior,82500,1
2026-08,nl,business-it-management,unknown,37500,1
2026-08,nl,business-it-management,unknown,42500,4
2026-08,nl,business-it-management,unknown,47500,1
2026-08,nl,business-it-management,unknown,50000,1
2026-08,nl,business-it-management,unknown,52500,3
2026-08,nl,business-it-management,unknown,55000,1
2026-08,nl,business-it-management,unknown,60000,1
2026-08,nl,business-it-management,unknown,62500,1
2026-08,nl,business-it-management,unknown,70000,2
2026-08,nl,business-it-management,unknown,82500,4
2026-08,nl,business-it-management,unknown,87500,1
2026-08,nl,informatica,all,122500,1
2026-08,nl,informatica,all,30000,1
2026-08,nl,informatica,all,32500,1
2026-08,nl,informatica,all,37500,1
2026-08,nl,informatica,all,40000,1
2026-08,nl,informatica,all,42500,3
2026-08,nl,informatica,all,45000,4
2026-08,nl,informatica,all,47500,2
2026-08,nl,informatica,all,50000,5
2026-08,nl,informatica,all,52500,4
2026-08,nl,informatica,all,55000,2
2026-08,nl,informatica,all,57500,1
2026-08,nl,informatica,all,62500,5
2026-08,nl,informatica,all,65000,5
2026-08,nl,informatica,all,67500,1
2026-08,nl,informatica,all,70000,10
2026-08,nl,informatica,all,72500,1
2026-08,nl,informatica,all,75000,1
2026-08,nl,informatica,all,77500,3
2026-08,nl,informatica,all,80000,2
2026-08,nl,informatica,all,82500,9
2026-08,nl,informatica,all,85000,1
2026-08,nl,informatica,all,95000,1
2026-08,nl,informatica,junior,30000,1
2026-08,nl,informatica,junior,65000,1
2026-08,nl,informatica,medior,45000,3
2026-08,nl,informatica,medior,50000,1
2026-08,nl,informatica,medior,65000,1
2026-08,nl,informatica,medior,70000,1
2026-08,nl,informatica,senior,122500,1
2026-08,nl,informatica,senior,50000,2
2026-08,nl,informatica,senior,52500,1
2026-08,nl,informatica,senior,55000,1
2026-08,nl,informatica,senior,57500,1
2026-08,nl,informatica,senior,62500,2
2026-08,nl,informatica,senior,65000,3
2026-08,nl,informatica,senior,70000,2
2026-08,nl,informatica,senior,77500,2
2026-08,nl,informatica,senior,80000,1
2026-08,nl,informatica,senior,82500,2
2026-08,nl,informatica,senior,85000,1
2026-08,nl,informatica,senior,95000,1
2026-08,nl,informatica,unknown,32500,1
2026-08,nl,informatica,unknown,37500,1
2026-08,nl,informatica,unknown,40000,1
2026-08,nl,informatica,unknown,42500,3
2026-08,nl,informatica,unknown,45000,1
2026-08,nl,informatica,unknown,47500,2
2026-08,nl,informatica,unknown,50000,2
2026-08,nl,informatica,unknown,52500,3
2026-08,nl,informatica,unknown,55000,1
2026-08,nl,informatica,unknown,62500,3
2026-08,nl,informatica,unknown,67500,1
2026-08,nl,informatica,unknown,70000,7
2026-08,nl,informatica,unknown,72500,1
2026-08,nl,informatica,unknown,75000,1
2026-08,nl,informatica,unknown,77500,1
2026-08,nl,informatica,unknown,80000,1
